ds,y
2011-01-01,77925
2011-02-01,86318
2011-03-01,87776
2011-04-01,92055
2011-05-01,96206
2011-06-01,111619
2011-07-01,108383
2011-08-01,84918
2011-09-01,90569
2011-10-01,95250
2011-11-01,100404
2011-12-01,130158
2012-01-01,102630
2012-02-01,83089
2012-03-01,103626
2012-04-01,93813
2012-05-01,94117
2012-06-01,117049
2012-07-01,92636
2012-08-01,95725
2012-09-01,95423
2012-10-01,102251
2012-11-01,101821
2012-12-01,137368
2013-01-01,137638
2013-02-01,89250
2013-03-01,105380
2013-04-01,120271
2013-05-01,93163
2013-06-01,109336
2013-07-01,126277
2013-08-01,112340
2013-09-01,108215
2013-10-01,103511
2013-11-01,123835
2013-12-01,153797
2014-01-01,119054
2014-02-01,97445
2014-03-01,122019
2014-04-01,111929
2014-05-01,115323
2014-06-01,140218
2014-07-01,101996
2014-08-01,111455
2014-09-01,113090
2014-10-01,126129
2014-11-01,123505
2014-12-01,171907
2015-01-01,114478
2015-02-01,119642
2015-03-01,124019
2015-04-01,125816
2015-05-01,148920
2015-06-01,132569
2015-07-01,109931
2015-08-01,134540
2015-09-01,117089
2015-10-01,123750
2015-11-01,124983
2015-12-01,170081
2016-01-01,108888
2016-02-01,120531
2016-03-01,125324
2016-04-01,125573
2016-05-01,123410
2016-06-01,121523
2016-07-01,103647
2016-08-01,99724
2016-09-01,114052
2016-10-01,114020
2016-11-01,106953
2016-12-01,159277
2017-01-01,129728
2017-02-01,95061
2017-03-01,127308
2017-04-01,134218
2017-05-01,112333
2017-06-01,125835
2017-07-01,118460
2017-08-01,120042
2017-09-01,118558
2017-10-01,112766
2017-11-01,120108
2017-12-01,192796
2018-01-01,115551
2018-02-01,155670
2018-03-01,175194
2018-04-01,144104
2018-05-01,142157
2018-06-01,167398
2018-07-01,144235
2018-08-01,159218
2018-09-01,153944
2018-10-01,141337
2018-11-01,155283
2018-12-01,233153
2019-01-01,134415
2019-02-01,159248
2019-03-01,172461
2019-04-01,15481
2019-05-01,145447
2019-06-01,175001
2019-07-01,14769
2019-08-01,183401
2019-09-01,159331
2019-10-01,158619
2019-11-01,167288
2019-12-01,190232
2020-01-01,157306
2020-02-01,95270
2020-03-01,44078
2020-04-01,242
2020-05-01,233
2020-06-01,97
2020-07-01,83
2020-08-01,123
2020-09-01,362
2020-10-01,434
2020-11-01,459
2020-12-01,471
2021-01-01,261
2021-02-01,158
2021-03-01,347
2021-04-01,214
2021-05-01,245
2021-06-01,251
2021-07-01,161
2021-08-01,165
2021-09-01,144
2021-10-01,158
2021-11-01,234
2021-12-01,313
2022-01-01,240
2022-02-01,329
2022-03-01,995
2022-04-01,8149
2022-05-01,16761
2022-06-01,39671
2022-07-01,57139
2022-08-01,60249
2022-09-01,78498
2022-10-01,78220
2022-11-01,80667
2022-12-01,145018
2023-01-01,94774
2023-02-01,74193
2023-03-01,97617
2023-04-01,89140
2023-05-01,77348
2023-06-01,134280
2023-07-01,95063
2023-08-01,95242
2023-09-01,102200
2023-10-01,80189
2023-11-01,100866
2023-12-01,149583
2024-01-01,78759
2024-02-01,112687
2024-03-01,104831
2024-04-01,79179
2024-05-01,100112
2024-06-01,131313
2024-07-01,101099
2024-08-01,120185
2024-09-01,115384
2024-10-01,110667
2024-11-01,112641
2024-12-01,159982
