holiday,ds,lower_window,upper_window
Tahun Baru Masehi,2015-01-01,0,1
Maulid Nabi Muhammad SAW 1436 H,2015-01-03,0,1
Tahun Baru Imlek 2566 Kongzili,2015-02-19,0,1
Hari Raya Nyepi,2015-03-21,0,1
Wafat Isa Almasih,2015-04-03,0,1
Hari Buruh Internasional,2015-05-01,0,1
Kenaikan Yesus Kristus,2015-05-14,0,1
Isra' Mi'raj Nabi Muhammad SAW,2015-05-16,0,1
Hari Lahirnya Pancasila,2015-06-01,0,1
Hari Raya Waisak 2559,2015-06-02,0,1
Hari Raya Idul Fitri 1436 H,2015-07-17,0,1
Hari Raya Idul Fitri 1436 H,2015-07-18,0,1
Hari Proklamasi Kemerdekaan RI,2015-08-17,0,1
Hari Raya Idul Adha 1436 H,2015-09-24,0,1
Tahun Baru Islam 1437 H,2015-10-14,0,1
Maulid Nabi Muhammad SAW 1437 H,2015-12-24,0,1
Hari Raya Natal,2015-12-25,0,1
Tahun Baru Masehi,2016-01-01,0,1
Tahun Baru Imlek 2567 Kongzili,2016-02-08,0,1
Hari Raya Nyepi,2016-03-09,0,1
Wafat Isa Al-Masih,2016-03-25,0,1
Hari Buruh Internasional,2016-05-01,0,1
Kenaikan Yesus Kristus,2016-05-05,0,1
Isra' Mi'raj Nabi Muhammad SAW,2016-05-06,0,1
Hari Raya Waisak 2560,2016-05-22,0,1
Hari Lahirnya Pancasila,2016-06-01,0,1
Hari Raya Idul Fitri 1437 H,2016-07-06,0,1
Hari Raya Idul Fitri 1437 H,2016-07-07,0,1
Hari Proklamasi Kemerdekaan RI,2016-08-17,0,1
Hari Raya Idul Adha 1437 H,2016-09-12,0,1
Tahun Baru Islam 1438 H,2016-10-02,0,1
Maulid Nabi Muhammad SAW,2016-12-12,0,1
Hari Raya Natal,2016-12-25,0,1
Tahun Baru Masehi,2017-01-01,0,1
Tahun Baru Imlek 2568 Kongzili,2017-01-28,0,1
Hari Raya Nyepi,2017-03-28,0,1
Wafat Isa Al Masih,2017-04-14,0,1
Isra Miraj Nabi Muhammad SAW,2017-04-24,0,1
Hari Buruh Internasional,2017-05-01,0,1
Hari Raya Waisak 2561,2017-05-11,0,1
Kenaikan Isa Al Masih,2017-05-25,0,1
Hari Lahirnya Pancasila,2017-06-01,0,1
Hari Raya Idul Fitri 1438 Hijriah,2017-06-25,0,1
